image_name,sport,pattern,fit,category,collar,pocket,neckline,fastening,sleevelen,gender,fabric,color,similar
Male/1_Coats/0000095_13.jpg,5,12,8,0,7,3,-1,0,2,0,-1,1,[]
Male/1_Coats/0000097_14.jpg,-1,2,8,0,3,2,-1,0,4,0,-1,14,[]
Male/1_Coats/0000134_2.jpg,-1,12,8,0,5,-1,-1,3,6,0,-1,15,"[279, 282, 354, 3170, 3171, 3533, 3608, 3726]"
Male/1_Coats/0000230_2.jpg,-1,12,8,0,5,-1,-1,3,6,0,-1,9,"[140, 247, 286, 1620, 1886, 3215]"
Male/1_Coats/0000243_7.jpg,-1,12,8,0,3,2,-1,3,-1,0,-1,11,[]
Male/1_Coats/0000250_18.jpg,-1,12,8,0,11,-1,-1,0,6,0,-1,5,"[642, 1407, 2389, 3278, 3842]"
Male/1_Coats/0000537_14.jpg,5,12,8,0,7,6,-1,0,-1,0,-1,1,[]
Male/1_Coats/0000777_2.jpg,-1,12,8,0,5,-1,-1,3,6,0,-1,1,"[274, 336, 342, 349, 379, 381, 384, 1414, 1926, 2747, 2835, 3114, 3512, 3870, 3997, 4121, 10127, 23000, 23752, 24604]"
Male/1_Coats/0001026_12.jpg,-1,12,8,0,7,6,-1,0,2,0,-1,17,[]
Male/1_Coats/0001030_24.jpg,-1,12,8,0,5,-1,-1,3,6,0,-1,5,"[100, 251, 267, 341, 348, 386, 421, 437, 1011, 1065, 1130, 1676, 2250, 2643, 3070, 3155, 3233, 3446, 3519, 7317, 21538]"
Male/1_Coats/0001596_12.jpg,6,-1,8,0,7,-1,-1,0,2,0,8,-1,[]
Male/1_Coats/0001608_12.jpg,-1,12,11,0,3,6,-1,0,2,0,-1,5,[]
Male/1_Coats/0001738_14.jpg,-1,12,8,0,3,-1,-1,0,6,0,-1,-1,"[184, 194, 226, 234, 1041, 1408, 1636, 1821, 2047, 2568, 23386]"
Male/1_Coats/0001923_8.jpg,-1,12,8,0,-1,2,-1,3,6,0,-1,-1,"[256, 859, 3423]"
Male/1_Coats/0001945_12.jpg,-1,12,8,0,11,-1,-1,0,6,0,-1,14,"[948, 3863]"
Male/1_Coats/0002107_14.jpg,-1,12,8,0,3,2,-1,0,6,0,-1,5,"[77, 104, 115, 176, 217, 388, 424, 427, 508, 1524, 1841, 2381, 2684, 2754, 2827, 3480, 3867, 24170]"
Male/1_Coats/0002256_14.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,1,"[19, 26, 70, 90, 151, 304, 317, 474, 804, 1458, 3226, 3249, 3286, 3456, 3466]"
Male/1_Coats/0002336_10.jpg,5,-1,8,0,7,6,-1,0,-1,0,-1,1,[]
Male/1_Coats/0002396_14.jpg,-1,12,8,0,3,2,-1,0,4,0,-1,9,[]
Male/1_Coats/0002810_16.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,1,"[16, 26, 70, 90, 151, 304, 317, 474, 804, 1458, 3226, 3249, 3286, 3456, 3466]"
Male/1_Coats/0002813_14.jpg,-1,14,8,0,3,2,-1,0,6,0,-1,2,"[527, 811]"
Male/1_Coats/0002922_10.jpg,-1,12,8,0,6,-1,-1,0,2,0,-1,1,[]
Male/1_Coats/0002985_14.jpg,-1,12,8,0,4,-1,-1,3,6,0,-1,-1,"[159, 3465, 4308, 4516, 4633, 4646, 5391, 5576, 6121, 6158, 6498, 6698, 7065, 7271, 7314, 7405, 7974, 8438, 8757, 9090, 9605]"
Male/1_Coats/0003107_12.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,5,"[33, 84, 93, 318, 337, 340, 641, 935, 1037, 1085, 1125, 1379, 1447, 3357, 3401, 22378]"
Male/1_Coats/0003269_12.jpg,-1,12,8,0,2,-1,-1,0,6,0,-1,1,"[328, 350]"
Male/1_Coats/0003334_12.jpg,-1,12,8,0,4,2,-1,3,6,0,-1,1,[]
Male/1_Coats/0003646_12.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,1,"[16, 19, 70, 90, 151, 304, 317, 474, 804, 1458, 3226, 3249, 3286, 3456, 3466]"
Male/1_Coats/0003648_12.jpg,-1,-1,10,0,7,6,-1,0,2,0,-1,17,[]
Male/1_Coats/0003891_14.jpg,-1,12,8,0,4,-1,-1,3,6,0,0,5,[4615]
Male/1_Coats/0004353_14.jpg,-1,12,8,0,5,-1,-1,3,6,0,-1,8,"[54, 65, 289, 308, 1240, 3668, 10680, 25157]"
Male/1_Coats/0004358_14.jpg,-1,12,8,0,3,2,-1,0,6,0,-1,15,"[63, 166, 281, 287, 395, 414, 2813, 3703]"
Male/1_Coats/0004425_18.jpg,5,-1,8,0,3,6,-1,0,6,0,4,-1,"[873, 1212, 1437, 1985, 2003, 3002]"
Male/1_Coats/0004429_1.jpg,-1,-1,-1,0,-1,2,-1,0,-1,0,-1,5,"[453, 3453]"
Male/1_Coats/0004559_14.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,5,"[23, 84, 93, 318, 337, 340, 641, 935, 1037, 1085, 1125, 1379, 1447, 3357, 3401, 22378]"
Male/1_Coats/0004579_1.jpg,-1,-1,-1,0,3,6,-1,0,2,0,-1,1,[]
Male/1_Coats/0004620_12.jpg,-1,12,8,0,11,-1,-1,-1,6,0,-1,5,[]
Male/1_Coats/0004665_14.jpg,-1,12,8,0,7,-1,-1,0,6,0,-1,8,"[469, 621, 629, 1196, 1360, 1563, 1577, 1870, 2926, 3407, 3643, 8866, 21197, 21433, 22704, 24207, 24464, 24981, 31067]"
Male/1_Coats/0004759_12.jpg,-1,12,8,0,2,-1,-1,3,6,0,-1,15,[]
Male/1_Coats/0005162_12.jpg,-1,12,8,0,4,2,-1,3,6,0,-1,5,[438]
Male/1_Coats/0005269_12.jpg,-1,12,8,0,3,-1,-1,0,6,0,-1,5,"[152, 597, 834, 1604, 1631, 1698, 2606, 3298, 3574, 13321, 22546, 24514]"
Male/1_Coats/0005346_12.jpg,-1,12,11,0,11,-1,-1,3,6,0,-1,5,[]
Male/1_Coats/0005463_12.jpg,-1,7,8,0,5,-1,-1,3,6,0,-1,3,[]
Male/1_Coats/0005745_14.jpg,-1,12,8,0,3,2,-1,0,6,0,-1,1,"[46, 122, 132, 169, 190, 324, 521, 701, 1912, 2603, 2784, 3022]"
Male/1_Coats/0005762_12.jpg,-1,12,8,0,7,-1,-1,0,2,0,-1,8,[120]
Male/1_Coats/0005919_12.jpg,-1,12,11,0,3,-1,-1,0,2,0,12,1,[]
Male/1_Coats/0005971_6.jpg,-1,12,4,0,-1,2,-1,3,6,0,-1,-1,[681]
Male/1_Coats/0005975_14.jpg,-1,12,8,0,3,2,-1,0,6,0,-1,1,"[42, 122, 132, 169, 190, 324, 521, 701, 1912, 2603, 2784, 3022]"
Male/1_Coats/0006043_14.jpg,-1,12,8,0,7,-1,-1,0,6,0,-1,1,"[133, 463, 465, 554, 568, 613, 631, 651, 678, 748, 764, 819, 881, 1028, 1140, 1150, 1202, 1287, 1296, 1427, 1445, 1499, 1506, 1634, 1823, 1914, 2441, 2577, 2632, 2685, 2711, 2718, 2724, 2811, 2941, 2973, 3398, 21671, 23485, 23497, 23538, 23841, 32752]"
Male/1_Coats/0006095_12.jpg,-1,12,8,0,11,-1,-1,0,6,0,-1,8,[1311]
Male/1_Coats/0006373_14.jpg,-1,-1,8,0,3,2,-1,0,6,0,-1,-1,"[229, 3273]"
Male/1_Coats/0006526_12.jpg,-1,12,8,0,3,2,-1,0,6,0,-1,8,"[408, 883, 1459, 1736, 3471]"
Male/1_Coats/0006642_14.jpg,5,12,8,0,6,6,-1,0,2,0,-1,1,[]
Male/1_Coats/0006739_12.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,15,"[88, 124, 128, 1317, 3681]"
Male/1_Coats/0006823_14.jpg,-1,-1,8,0,-1,-1,8,-1,6,0,12,16,"[20488, 22123, 23926]"
Male/1_Coats/0006879_12.jpg,-1,12,8,0,5,-1,-1,3,6,0,-1,8,"[29, 65, 289, 308, 1240, 3668, 10680, 25157]"
Male/1_Coats/0007158_14.jpg,-1,12,8,0,3,5,-1,0,6,0,-1,-1,"[73, 2849]"
Male/1_Coats/0007313_12.jpg,-1,12,8,0,7,-1,-1,0,2,0,-1,1,[261]
Male/1_Coats/0007640_14.jpg,-1,12,8,0,-1,2,-1,0,6,0,-1,8,[]
Male/1_Coats/0007718_14.jpg,-1,12,8,0,-1,-1,5,3,2,0,-1,1,"[356, 1349, 1697, 2251, 2773, 2797]"
Male/1_Coats/0007918_12.jpg,-1,8,8,0,11,-1,-1,3,6,0,-1,3,[23884]
Male/1_Coats/0007930_12.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,-1,"[143, 1425, 1662, 1815, 1987, 2627, 3145, 21269]"
Male/1_Coats/0007959_15.jpg,-1,-1,8,0,-1,2,-1,3,-1,0,-1,16,[]
Male/1_Coats/0008087_14.jpg,-1,2,11,0,3,6,-1,0,2,0,-1,-1,[]
Male/1_Coats/0008094_14.jpg,-1,12,8,0,3,2,-1,0,6,0,-1,15,"[30, 166, 281, 287, 395, 414, 2813, 3703]"
Male/1_Coats/0008889_12.jpg,-1,12,8,0,11,6,-1,0,6,0,-1,1,"[351, 374, 439, 516, 664, 861]"
Male/1_Coats/0009288_14.jpg,-1,12,8,0,5,-1,-1,3,6,0,-1,8,"[29, 54, 289, 308, 1240, 3668, 10680, 25157]"
Male/1_Coats/0009474_14.jpg,-1,12,8,0,3,-1,-1,3,6,0,-1,9,[]
Male/1_Coats/0009561_14.jpg,-1,12,8,0,11,2,-1,0,6,0,-1,-1,"[1570, 2525, 3880]"
Male/1_Coats/0009630_12.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,9,"[89, 110, 129, 164, 233, 259, 360, 1740, 1862]"
Male/1_Coats/0009903_2.jpg,-1,12,8,0,3,2,-1,3,6,0,-1,15,[]
Male/1_Coats/0010074_12.jpg,-1,12,8,0,11,-1,-1,3,6,0,-1,1,"[16, 19, 26, 90, 151, 304, 317, 474, 804, 1458, 3226, 3249, 3286, 3456, 3466]"
Male/1_Coats/0010120_14.jpg,-1,12,8,0,3,-1,-1,0,6,0,-1,1,"[306, 530, 714, 778, 961, 1064, 1351, 1762, 2602, 2692, 3074, 24082, 25558]"
Male/1_Coats/0010185_14.jpg,-1,12,8,0,6,-1,-1,0,6,0,-1,1,"[626, 724, 858, 2856]"
Male/1_Coats/0010187_12.jpg,-1,12,8,0,3,5,-1,0,6,0,-1,-1,"[55, 2849]"
Male/1_Coats/0010268_16.jpg,-1,12,8,0,3,-1,-1,3,6,0,-1,5,"[429, 1749]"
Male/1_Coats/0010294_2.jpg,-1,12,8,0,3,2,-1,0,4,0,-1,5,"[314, 365]"
Male/1_Coats/0010341_12.jpg,-1,12,-1,0,-1,2,-1,0,6,0,-1,15,[]
Male/1_Coats/0010661_14.jpg,-1,12,8,0,3,2,-1,0,6,0,-1,5,"[15, 104, 115, 176, 217, 388, 424, 427, 508, 1524, 1841, 2381, 2684, 2754, 2827, 3480, 3867, 24170]"
